N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,001457281;2050;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,002914559;2053;;;;;;;
3;0,002929688;0,00437183;2056;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,00582909;2059;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,007286337;2062;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,008743567;2065;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,010200776;2068;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,011657961;2071;;;;;;;
9;0,008789063;0,013115119;2074;;;;;;;
10;0,009765625;0,014572246;2077;;;;;;;
11;0,010742188;0,016029339;2080;;;;;;;
12;0,01171875;0,017486393;2083;;;;;;;
13;0,012695313;0,018943407;2086;;;;;;;
14;0,013671875;0,020400376;2089;;;;;;;
15;0,014648438;0,021857297;2092;;;;;;;
16;0,015625;0,023314167;2095;;;;;;;
17;0,016601563;0,024770982;2098;;;;;;;
18;0,017578125;0,026227738;2101;;;;;;;
19;0,018554688;0,027684433;2104;;;;;;;
20;0,01953125;0,029141063;2107;;;;;;;
21;0,020507813;0,030597624;2110;;;;;;;
22;0,021484375;0,032054113;2113;;;;;;;
23;0,022460938;0,033510527;2116;;;;;;;
24;0,0234375;0,034966862;2119;;;;;;;
25;0,024414063;0,036423114;2122;;;;;;;
26;0,025390625;0,037879281;2125;;;;;;;
27;0,026367188;0,039335359;2128;;;;;;;
28;0,02734375;0,040791344;2131;;;;;;;
29;0,028320313;0,042247233;2134;;;;;;;
30;0,029296875;0,043703023;2137;;;;;;;
31;0,030273438;0,04515871;2140;;;;;;;
32;0,03125;0,046614291;2143;;;;;;;
33;0,032226563;0,048069762;2146;;;;;;;
34;0,033203125;0,049525119;2149;;;;;;;
35;0,034179688;0,050980361;2152;;;;;;;
36;0,03515625;0,052435482;2155;;;;;;;
37;0,036132813;0,05389048;2158;;;;;;;
38;0,037109375;0,055345351;2161;;;;;;;
39;0,038085938;0,056800092;2164;;;;;;;
40;0,0390625;0,058254699;2167;;;;;;;
41;0,040039063;0,05970917;2170;;;;;;;
42;0,041015625;0,061163499;2173;;;;;;;
43;0,041992188;0,062617685;2176;;;;;;;
44;0,04296875;0,064071724;2179;;;;;;;
45;0,043945313;0,065525611;2182;;;;;;;
46;0,044921875;0,066979345;2185;;;;;;;
47;0,045898438;0,068432921;2188;;;;;;;
48;0,046875;0,069886335;2191;;;;;;;
49;0,047851563;0,071339586;2194;;;;;;;
50;0,048828125;0,072792668;2197;;;;;;;
51;0,049804688;0,07424558;2200;;;;;;;
52;0,05078125;0,075698316;2203;;;;;;;
53;0,051757813;0,077150874;2206;;;;;;;
54;0,052734375;0,078603251;2208;;;;;;;
55;0,053710938;0,080055443;2211;;;;;;;
56;0,0546875;0,081507447;2214;;;;;;;
57;0,055664063;0,082959258;2217;;;;;;;
58;0,056640625;0,084410875;2220;;;;;;;
59;0,057617188;0,085862293;2223;;;;;;;
60;0,05859375;0,087313509;2226;;;;;;;
61;0,059570313;0,088764519;2229;;;;;;;
62;0,060546875;0,090215321;2232;;;;;;;
63;0,061523438;0,09166591;2235;;;;;;;
64;0,0625;0,093116283;2238;;;;;;;
65;0,063476563;0,094566438;2241;;;;;;;
66;0,064453125;0,09601637;2244;;;;;;;
67;0,065429688;0,097466076;2247;;;;;;;
68;0,06640625;0,098915552;2250;;;;;;;
69;0,067382813;0,100364796;2253;;;;;;;
70;0,068359375;0,101813804;2256;;;;;;;
71;0,069335938;0,103262572;2259;;;;;;;
72;0,0703125;0,104711097;2262;;;;;;;
73;0,071289063;0,106159376;2265;;;;;;;
74;0,072265625;0,107607405;2268;;;;;;;
75;0,073242188;0,10905518;2271;;;;;;;
76;0,07421875;0,110502699;2274;;;;;;;
77;0,075195313;0,111949958;2277;;;;;;;
78;0,076171875;0,113396954;2280;;;;;;;
79;0,077148438;0,114843683;2283;;;;;;;
80;0,078125;0,116290141;2286;;;;;;;
81;0,079101563;0,117736326;2289;;;;;;;
82;0,080078125;0,119182234;2292;;;;;;;
83;0,081054688;0,120627862;2295;;;;;;;
84;0,08203125;0,122073205;2298;;;;;;;
85;0,083007813;0,123518262;2300;;;;;;;
86;0,083984375;0,124963027;2303;;;;;;;
87;0,084960938;0,126407499;2306;;;;;;;
88;0,0859375;0,127851673;2309;;;;;;;
89;0,086914063;0,129295546;2312;;;;;;;
90;0,087890625;0,130739116;2315;;;;;;;
91;0,088867188;0,132182377;2318;;;;;;;
92;0,08984375;0,133625327;2321;;;;;;;
93;0,090820313;0,135067963;2324;;;;;;;
94;0,091796875;0,136510281;2327;;;;;;;
95;0,092773438;0,137952278;2330;;;;;;;
96;0,09375;0,139393951;2333;;;;;;;
97;0,094726563;0,140835295;2336;;;;;;;
98;0,095703125;0,142276308;2339;;;;;;;
99;0,096679688;0,143716986;2342;;;;;;;
100;0,09765625;0,145157326;2345;;;;;;;
101;0,098632813;0,146597324;2348;;;;;;;
102;0,099609375;0,148036978;2351;;;;;;;
103;0,100585938;0,149476283;2354;;;;;;;
104;0,1015625;0,150915236;2357;;;;;;;
105;0,102539063;0,152353834;2360;;;;;;;
106;0,103515625;0,153792074;2362;;;;;;;
107;0,104492188;0,155229952;2365;;;;;;;
108;0,10546875;0,156667464;2368;;;;;;;
109;0,106445313;0,158104608;2371;;;;;;;
110;0,107421875;0,15954138;2374;;;;;;;
111;0,108398438;0,160977777;2377;;;;;;;
112;0,109375;0,162413794;2380;;;;;;;
113;0,110351563;0,16384943;2383;;;;;;;
114;0,111328125;0,16528468;2386;;;;;;;
115;0,112304688;0,166719541;2389;;;;;;;
116;0,11328125;0,168154009;2392;;;;;;;
117;0,114257813;0,169588082;2395;;;;;;;
118;0,115234375;0,171021756;2398;;;;;;;
119;0,116210938;0,172455028;2401;;;;;;;
120;0,1171875;0,173887894;2404;;;;;;;
121;0,118164063;0,17532035;2407;;;;;;;
122;0,119140625;0,176752394;2409;;;;;;;
123;0,120117188;0,178184022;2412;;;;;;;
124;0,12109375;0,179615231;2415;;;;;;;
125;0,122070313;0,181046017;2418;;;;;;;
126;0,123046875;0,182476377;2421;;;;;;;
127;0,124023438;0,183906308;2424;;;;;;;
128;0,125;0,185335806;2427;;;;;;;
129;0,125976563;0,186764868;2430;;;;;;;
130;0,126953125;0,18819349;2433;;;;;;;
131;0,127929688;0,18962167;2436;;;;;;;
132;0,12890625;0,191049403;2439;;;;;;;
133;0,129882813;0,192476687;2442;;;;;;;
134;0,130859375;0,193903518;2445;;;;;;;
135;0,131835938;0,195329892;2448;;;;;;;
136;0,1328125;0,196755807;2450;;;;;;;
137;0,133789063;0,198181259;2453;;;;;;;
138;0,134765625;0,199606245;2456;;;;;;;
139;0,135742188;0,201030761;2459;;;;;;;
140;0,13671875;0,202454804;2462;;;;;;;
141;0,137695313;0,20387837;2465;;;;;;;
142;0,138671875;0,205301457;2468;;;;;;;
143;0,139648438;0,206724061;2471;;;;;;;
144;0,140625;0,208146178;2474;;;;;;;
145;0,141601563;0,209567806;2477;;;;;;;
146;0,142578125;0,21098894;2480;;;;;;;
147;0,143554688;0,212409578;2483;;;;;;;
148;0,14453125;0,213829716;2485;;;;;;;
149;0,145507813;0,215249351;2488;;;;;;;
150;0,146484375;0,216668479;2491;;;;;;;
151;0,147460938;0,218087098;2494;;;;;;;
152;0,1484375;0,219505203;2497;;;;;;;
153;0,149414063;0,220922792;2500;;;;;;;
154;0,150390625;0,222339861;2503;;;;;;;
155;0,151367188;0,223756406;2506;;;;;;;
156;0,15234375;0,225172426;2509;;;;;;;
157;0,153320313;0,226587915;2512;;;;;;;
158;0,154296875;0,228002871;2514;;;;;;;
159;0,155273438;0,229417291;2517;;;;;;;
160;0,15625;0,230831171;2520;;;;;;;
161;0,157226563;0,232244508;2523;;;;;;;
162;0,158203125;0,233657298;2526;;;;;;;
163;0,159179688;0,235069538;2529;;;;;;;
164;0,16015625;0,236481225;2532;;;;;;;
165;0,161132813;0,237892356;2535;;;;;;;
166;0,162109375;0,239302927;2538;;;;;;;
167;0,163085938;0,240712935;2540;;;;;;;
168;0,1640625;0,242122377;2543;;;;;;;
169;0,165039063;0,243531248;2546;;;;;;;
170;0,166015625;0,244939547;2549;;;;;;;
171;0,166992188;0,246347269;2552;;;;;;;
172;0,16796875;0,247754412;2555;;;;;;;
173;0,168945313;0,249160972;2558;;;;;;;
174;0,169921875;0,250566945;2561;;;;;;;
175;0,170898438;0,251972329;2564;;;;;;;
176;0,171875;0,25337712;2566;;;;;;;
177;0,172851563;0,254781314;2569;;;;;;;
178;0,173828125;0,256184909;2572;;;;;;;
179;0,174804688;0,257587902;2575;;;;;;;
180;0,17578125;0,258990288;2578;;;;;;;
181;0,176757813;0,260392064;2581;;;;;;;
182;0,177734375;0,261793228;2584;;;;;;;
183;0,178710938;0,263193776;2587;;;;;;;
184;0,1796875;0,264593705;2589;;;;;;;
185;0,180664063;0,265993011;2592;;;;;;;
186;0,181640625;0,267391691;2595;;;;;;;
187;0,182617188;0,268789742;2598;;;;;;;
188;0,18359375;0,27018716;2601;;;;;;;
189;0,184570313;0,271583943;2604;;;;;;;
