N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,049436027;2149;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,098748527;2250;;;;;;;
3;0,002929688;0,147814287;2350;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,196510715;2450;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,244716155;2549;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,29231019;2646;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,339173949;2742;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,385190407;2836;;;;;;;
9;0,008789063;0,430244678;2929;;;;;;;
10;0,009765625;0,474224308;3019;;;;;;;
11;0,010742188;0,517019557;3106;;;;;;;
12;0,01171875;0,558523675;3191;;;;;;;
13;0,012695313;0,598633172;3274;;;;;;;
14;0,013671875;0,637248081;3353;;;;;;;
15;0,014648438;0,674272202;3428;;;;;;;
16;0,015625;0,709613352;3501;;;;;;;
17;0,016601563;0,743183591;3570;;;;;;;
18;0,017578125;0,774899444;3634;;;;;;;
19;0,018554688;0,804682112;3695;;;;;;;
20;0,01953125;0,832457664;3752;;;;;;;
21;0,020507813;0,858157227;3805;;;;;;;
22;0,021484375;0,881717152;3853;;;;;;;
23;0,022460938;0,903079175;3897;;;;;;;
24;0,0234375;0,922190562;3936;;;;;;;
25;0,024414063;0,939004236;3971;;;;;;;
26;0,025390625;0,953478893;4000;;;;;;;
27;0,026367188;0,965579106;4025;;;;;;;
28;0,02734375;0,975275406;4045;;;;;;;
29;0,028320313;0,982544354;4060;;;;;;;
30;0,029296875;0,987368596;4070;;;;;;;
31;0,030273438;0,989736903;4074;;;;;;;
32;0,03125;0,989644194;4074;;;;;;;
33;0,032226563;0,987091545;4069;;;;;;;
34;0,033203125;0,98208618;4059;;;;;;;
35;0,034179688;0,974641446;4044;;;;;;;
36;0,03515625;0,964776781;4023;;;;;;;
37;0,036132813;0,952517651;3998;;;;;;;
38;0,037109375;0,937895489;3968;;;;;;;
39;0,038085938;0,920947603;3934;;;;;;;
40;0,0390625;0,901717081;3894;;;;;;;
41;0,040039063;0,880252677;3850;;;;;;;
42;0,041015625;0,856608682;3802;;;;;;;
43;0,041992188;0,83084478;3749;;;;;;;
44;0,04296875;0,803025896;3692;;;;;;;
45;0,043945313;0,773222026;3631;;;;;;;
46;0,044921875;0,741508053;3566;;;;;;;
47;0,045898438;0,707963559;3497;;;;;;;
48;0,046875;0,672672617;3425;;;;;;;
49;0,047851563;0,635723572;3349;;;;;;;
50;0,048828125;0,597208821;3271;;;;;;;
51;0,049804688;0,557224571;3189;;;;;;;
52;0,05078125;0,515870597;3104;;;;;;;
53;0,051757813;0,473249983;3017;;;;;;;
54;0,052734375;0,429468866;2927;;;;;;;
55;0,053710938;0,384636162;2835;;;;;;;
56;0,0546875;0,338863289;2741;;;;;;;
57;0,055664063;0,292263889;2646;;;;;;;
58;0,056640625;0,244953538;2549;;;;;;;
59;0,057617188;0,197049457;2451;;;;;;;
60;0,05859375;0,148670212;2352;;;;;;;
61;0,059570313;0,099935422;2252;;;;;;;
62;0,060546875;0,050965455;2152;;;;;;;
63;0,061523438;0,00188113;2051;;;;;;;
64;0,0625;-0,04719659;1951;;;;;;;
65;0,063476563;-0,096146894;1851;;;;;;;
66;0,064453125;-0,144849426;1751;;;;;;;
67;0,065429688;-0,193184587;1652;;;;;;;
68;0,06640625;-0,241033824;1554;;;;;;;
69;0,067382813;-0,288279931;1457;;;;;;;
70;0,068359375;-0,334807332;1362;;;;;;;
71;0,069335938;-0,380502369;1268;;;;;;;
72;0,0703125;-0,42525358;1177;;;;;;;
73;0,071289063;-0,46895197;1087;;;;;;;
74;0,072265625;-0,51149128;1000;;;;;;;
75;0,073242188;-0,552768242;915;;;;;;;
