N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,000917276;2049;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,003497762;2055;;;;;;;
3;0,002929688;0,007251441;2062;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,011438652;2071;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,015175524;2079;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,017562566;2083;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,017820104;2084;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,015413103;2079;;;;;;;
9;0,008789063;0,010148865;2068;;;;;;;
10;0,009765625;0,002234013;2052;;;;;;;
11;0,010742188;-0,00771821;2032;;;;;;;
12;0,01171875;-0,018733467;2009;;;;;;;
13;0,012695313;-0,029571559;1987;;;;;;;
14;0,013671875;-0,038862028;1968;;;;;;;
15;0,014648438;-0,045265655;1955;;;;;;;
16;0,015625;-0,047643604;1950;;;;;;;
17;0,016601563;-0,045214317;1955;;;;;;;
18;0,017578125;-0,037678765;1970;;;;;;;
19;0,018554688;-0,025297491;1996;;;;;;;
20;0,01953125;-0,008907645;2029;;;;;;;
21;0,020507813;0,010125428;2068;;;;;;;
22;0,021484375;0,030020315;2109;;;;;;;
23;0,022460938;0,048746332;2147;;;;;;;
24;0,0234375;0,064229371;2179;;;;;;;
25;0,024414063;0,074576045;2200;;;;;;;
26;0,025390625;0,078292357;2208;;;;;;;
27;0,026367188;0,074472551;2200;;;;;;;
28;0,02734375;0,062935899;2176;;;;;;;
29;0,028320313;0,044293763;2138;;;;;;;
30;0,029296875;0,019935993;2088;;;;;;;
31;0,030273438;-0,008066137;2031;;;;;;;
32;0,03125;-0,03713444;1971;;;;;;;
33;0,032226563;-0,064421246;1916;;;;;;;
34;0,033203125;-0,087087858;1869;;;;;;;
35;0,034179688;-0,102596881;1837;;;;;;;
36;0,03515625;-0,108988545;1824;;;;;;;
37;0,036132813;-0,10511155;1832;;;;;;;
38;0,037109375;-0,090782383;1862;;;;;;;
39;0,038085938;-0,066853412;1911;;;;;;;
40;0,0390625;-0,035178604;1975;;;;;;;
41;0,040039063;0,00152413;2051;;;;;;;
42;0,041015625;0,039904436;2129;;;;;;;
43;0,041992188;0,076285308;2204;;;;;;;
44;0,04296875;0,107015276;2267;;;;;;;
45;0,043945313;0,128833249;2311;;;;;;;
46;0,044921875;0,139209717;2333;;;;;;;
47;0,045898438;0,136629004;2327;;;;;;;
48;0,046875;0,120781911;2295;;;;;;;
49;0,047851563;0,092645973;2237;;;;;;;
50;0,048828125;0,054441039;2159;;;;;;;
51;0,049804688;0,009459957;2067;;;;;;;
52;0,05078125;-0,038213386;1969;;;;;;;
53;0,051757813;-0,084074693;1875;;;;;;;
54;0,052734375;-0,123624937;1794;;;;;;;
55;0,053710938;-0,152810869;1735;;;;;;;
56;0,0546875;-0,168437274;1703;;;;;;;
57;0,055664063;-0,168509331;1702;;;;;;;
58;0,056640625;-0,152468979;1735;;;;;;;
59;0,057617188;-0,121298529;1799;;;;;;;
60;0,05859375;-0,07747704;1889;;;;;;;
61;0,059570313;-0,02478904;1997;;;;;;;
62;0,060546875;0,032000301;2113;;;;;;;
63;0,061523438;0,087575854;2227;;;;;;;
64;0,0625;0,136570193;2327;;;;;;;
65;0,063476563;0,174081598;2404;;;;;;;
