N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,023314167;2095;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,046614291;2143;;;;;;;
3;0,002929688;0,069886335;2191;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,093116283;2238;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,116290141;2286;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,139393951;2333;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,162413794;2380;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,185335806;2427;;;;;;;
9;0,008789063;0,208146178;2474;;;;;;;
10;0,009765625;0,230831171;2520;;;;;;;
11;0,010742188;0,25337712;2566;;;;;;;
12;0,01171875;0,275770443;2612;;;;;;;
13;0,012695313;0,297997653;2658;;;;;;;
14;0,013671875;0,320045361;2703;;;;;;;
15;0,014648438;0,341900285;2748;;;;;;;
16;0,015625;0,363549261;2792;;;;;;;
17;0,016601563;0,384979248;2836;;;;;;;
18;0,017578125;0,406177339;2879;;;;;;;
19;0,018554688;0,427130763;2922;;;;;;;
20;0,01953125;0,4478269;2965;;;;;;;
21;0,020507813;0,468253283;3006;;;;;;;
22;0,021484375;0,488397607;3048;;;;;;;
23;0,022460938;0,508247739;3088;;;;;;;
24;0,0234375;0,527791721;3128;;;;;;;
25;0,024414063;0,547017782;3168;;;;;;;
26;0,025390625;0,565914339;3206;;;;;;;
27;0,026367188;0,584470011;3244;;;;;;;
28;0,02734375;0,60267362;3282;;;;;;;
29;0,028320313;0,620514201;3318;;;;;;;
30;0,029296875;0,637981007;3354;;;;;;;
31;0,030273438;0,655063518;3389;;;;;;;
32;0,03125;0,671751442;3423;;;;;;;
33;0,032226563;0,688034729;3457;;;;;;;
34;0,033203125;0,703903569;3489;;;;;;;
35;0,034179688;0,719348404;3521;;;;;;;
36;0,03515625;0,734359931;3551;;;;;;;
37;0,036132813;0,748929106;3581;;;;;;;
38;0,037109375;0,763047155;3610;;;;;;;
39;0,038085938;0,776705572;3638;;;;;;;
40;0,0390625;0,789896132;3665;;;;;;;
41;0,040039063;0,802610887;3691;;;;;;;
42;0,041015625;0,81484218;3716;;;;;;;
43;0,041992188;0,826582642;3740;;;;;;;
44;0,04296875;0,837825201;3763;;;;;;;
45;0,043945313;0,848563086;3785;;;;;;;
46;0,044921875;0,858789828;3806;;;;;;;
47;0,045898438;0,868499268;3826;;;;;;;
48;0,046875;0,877685556;3845;;;;;;;
49;0,047851563;0,886343159;3863;;;;;;;
50;0,048828125;0,894466862;3879;;;;;;;
51;0,049804688;0,902051772;3895;;;;;;;
52;0,05078125;0,909093319;3909;;;;;;;
53;0,051757813;0,915587263;3923;;;;;;;
54;0,052734375;0,921529691;3935;;;;;;;
55;0,053710938;0,926917024;3946;;;;;;;
56;0,0546875;0,931746016;3956;;;;;;;
57;0,055664063;0,93601376;3964;;;;;;;
58;0,056640625;0,939717684;3972;;;;;;;
59;0,057617188;0,942855558;3978;;;;;;;
60;0,05859375;0,94542549;3984;;;;;;;
61;0,059570313;0,947425934;3988;;;;;;;
62;0,060546875;0,948855683;3991;;;;;;;
63;0,061523438;0,949713878;3993;;;;;;;
64;0,0625;0,95;3993;;;;;;;
65;0,063476563;0,949713878;3993;;;;;;;
66;0,064453125;0,948855683;3991;;;;;;;
67;0,065429688;0,947425934;3988;;;;;;;
68;0,06640625;0,94542549;3984;;;;;;;
69;0,067382813;0,942855558;3978;;;;;;;
70;0,068359375;0,939717684;3972;;;;;;;
71;0,069335938;0,93601376;3964;;;;;;;
72;0,0703125;0,931746016;3956;;;;;;;
73;0,071289063;0,926917024;3946;;;;;;;
74;0,072265625;0,921529691;3935;;;;;;;
75;0,073242188;0,915587263;3923;;;;;;;
76;0,07421875;0,909093319;3909;;;;;;;
77;0,075195313;0,902051772;3895;;;;;;;
78;0,076171875;0,894466862;3879;;;;;;;
79;0,077148438;0,886343159;3863;;;;;;;
80;0,078125;0,877685556;3845;;;;;;;
81;0,079101563;0,868499268;3826;;;;;;;
82;0,080078125;0,858789828;3806;;;;;;;
83;0,081054688;0,848563086;3785;;;;;;;
84;0,08203125;0,837825201;3763;;;;;;;
85;0,083007813;0,826582642;3740;;;;;;;
86;0,083984375;0,81484218;3716;;;;;;;
87;0,084960938;0,802610887;3691;;;;;;;
88;0,0859375;0,789896132;3665;;;;;;;
89;0,086914063;0,776705572;3638;;;;;;;
90;0,087890625;0,763047155;3610;;;;;;;
91;0,088867188;0,748929106;3581;;;;;;;
92;0,08984375;0,734359931;3551;;;;;;;
93;0,090820313;0,719348404;3521;;;;;;;
94;0,091796875;0,703903569;3489;;;;;;;
95;0,092773438;0,688034729;3457;;;;;;;
96;0,09375;0,671751442;3423;;;;;;;
97;0,094726563;0,655063518;3389;;;;;;;
98;0,095703125;0,637981007;3354;;;;;;;
99;0,096679688;0,620514201;3318;;;;;;;
100;0,09765625;0,60267362;3282;;;;;;;
101;0,098632813;0,584470011;3244;;;;;;;
102;0,099609375;0,565914339;3206;;;;;;;
103;0,100585938;0,547017782;3168;;;;;;;
104;0,1015625;0,527791721;3128;;;;;;;
105;0,102539063;0,508247739;3088;;;;;;;
106;0,103515625;0,488397607;3048;;;;;;;
107;0,104492188;0,468253283;3006;;;;;;;
108;0,10546875;0,4478269;2965;;;;;;;
109;0,106445313;0,427130763;2922;;;;;;;
110;0,107421875;0,406177339;2879;;;;;;;
111;0,108398438;0,384979248;2836;;;;;;;
112;0,109375;0,363549261;2792;;;;;;;
113;0,110351563;0,341900285;2748;;;;;;;
114;0,111328125;0,320045361;2703;;;;;;;
115;0,112304688;0,297997653;2658;;;;;;;
116;0,11328125;0,275770443;2612;;;;;;;
117;0,114257813;0,25337712;2566;;;;;;;
118;0,115234375;0,230831171;2520;;;;;;;
119;0,116210938;0,208146178;2474;;;;;;;
120;0,1171875;0,185335806;2427;;;;;;;
121;0,118164063;0,162413794;2380;;;;;;;
122;0,119140625;0,139393951;2333;;;;;;;
123;0,120117188;0,116290141;2286;;;;;;;
124;0,12109375;0,093116283;2238;;;;;;;
125;0,122070313;0,069886335;2191;;;;;;;
126;0,123046875;0,046614291;2143;;;;;;;
127;0,124023438;0,023314167;2095;;;;;;;
128;0,125;1,16389E-16;2048;;;;;;;
129;0,125976563;-0,023314167;2000;;;;;;;
130;0,126953125;-0,046614291;1952;;;;;;;
131;0,127929688;-0,069886335;1904;;;;;;;
132;0,12890625;-0,093116283;1857;;;;;;;
133;0,129882813;-0,116290141;1809;;;;;;;
134;0,130859375;-0,139393951;1762;;;;;;;
135;0,131835938;-0,162413794;1715;;;;;;;
136;0,1328125;-0,185335806;1668;;;;;;;
137;0,133789063;-0,208146178;1621;;;;;;;
138;0,134765625;-0,230831171;1575;;;;;;;
139;0,135742188;-0,25337712;1529;;;;;;;
140;0,13671875;-0,275770443;1483;;;;;;;
141;0,137695313;-0,297997653;1437;;;;;;;
142;0,138671875;-0,320045361;1392;;;;;;;
143;0,139648438;-0,341900285;1347;;;;;;;
144;0,140625;-0,363549261;1303;;;;;;;
145;0,141601563;-0,384979248;1259;;;;;;;
146;0,142578125;-0,406177339;1216;;;;;;;
147;0,143554688;-0,427130763;1173;;;;;;;
148;0,14453125;-0,4478269;1130;;;;;;;
149;0,145507813;-0,468253283;1089;;;;;;;
150;0,146484375;-0,488397607;1047;;;;;;;
151;0,147460938;-0,508247739;1007;;;;;;;
152;0,1484375;-0,527791721;967;;;;;;;
153;0,149414063;-0,547017782;927;;;;;;;
154;0,150390625;-0,565914339;889;;;;;;;
155;0,151367188;-0,584470011;851;;;;;;;
156;0,15234375;-0,60267362;813;;;;;;;
157;0,153320313;-0,620514201;777;;;;;;;
158;0,154296875;-0,637981007;741;;;;;;;
159;0,155273438;-0,655063518;706;;;;;;;
160;0,15625;-0,671751442;672;;;;;;;
161;0,157226563;-0,688034729;638;;;;;;;
162;0,158203125;-0,703903569;606;;;;;;;
163;0,159179688;-0,719348404;574;;;;;;;
164;0,16015625;-0,734359931;544;;;;;;;
165;0,161132813;-0,748929106;514;;;;;;;
166;0,162109375;-0,763047155;485;;;;;;;
167;0,163085938;-0,776705572;457;;;;;;;
168;0,1640625;-0,789896132;430;;;;;;;
169;0,165039063;-0,802610887;404;;;;;;;
170;0,166015625;-0,81484218;379;;;;;;;
171;0,166992188;-0,826582642;355;;;;;;;
172;0,16796875;-0,837825201;332;;;;;;;
173;0,168945313;-0,848563086;310;;;;;;;
174;0,169921875;-0,858789828;289;;;;;;;
175;0,170898438;-0,868499268;269;;;;;;;
176;0,171875;-0,877685556;250;;;;;;;
177;0,172851563;-0,886343159;232;;;;;;;
178;0,173828125;-0,894466862;216;;;;;;;
179;0,174804688;-0,902051772;200;;;;;;;
180;0,17578125;-0,909093319;186;;;;;;;
181;0,176757813;-0,915587263;172;;;;;;;
182;0,177734375;-0,921529691;160;;;;;;;
183;0,178710938;-0,926917024;149;;;;;;;
184;0,1796875;-0,931746016;139;;;;;;;
185;0,180664063;-0,93601376;131;;;;;;;
186;0,181640625;-0,939717684;123;;;;;;;
187;0,182617188;-0,942855558;117;;;;;;;
188;0,18359375;-0,94542549;111;;;;;;;
189;0,184570313;-0,947425934;107;;;;;;;
190;0,185546875;-0,948855683;104;;;;;;;
191;0,186523438;-0,949713878;102;;;;;;;
192;0,1875;-0,95;102;;;;;;;
193;0,188476563;-0,949713878;102;;;;;;;
194;0,189453125;-0,948855683;104;;;;;;;
195;0,190429688;-0,947425934;107;;;;;;;
