N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,003037277;2054;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,006074526;2060;;;;;;;
3;0,002929688;0,009111717;2066;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,012148823;2072;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,015185814;2079;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,018222663;2085;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,021259339;2091;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,024295816;2097;;;;;;;
9;0,008789063;0,027332064;2103;;;;;;;
10;0,009765625;0,030368055;2110;;;;;;;
11;0,010742188;0,03340376;2116;;;;;;;
12;0,01171875;0,036439151;2122;;;;;;;
13;0,012695313;0,039474198;2128;;;;;;;
14;0,013671875;0,042508874;2135;;;;;;;
15;0,014648438;0,04554315;2141;;;;;;;
16;0,015625;0,048576998;2147;;;;;;;
17;0,016601563;0,051610388;2153;;;;;;;
18;0,017578125;0,054643292;2159;;;;;;;
19;0,018554688;0,057675682;2166;;;;;;;
20;0,01953125;0,060707529;2172;;;;;;;
21;0,020507813;0,063738805;2178;;;;;;;
22;0,021484375;0,06676948;2184;;;;;;;
23;0,022460938;0,069799528;2190;;;;;;;
24;0,0234375;0,072828918;2197;;;;;;;
25;0,024414063;0,075857623;2203;;;;;;;
26;0,025390625;0,078885614;2209;;;;;;;
27;0,026367188;0,081912862;2215;;;;;;;
28;0,02734375;0,084939339;2221;;;;;;;
29;0,028320313;0,087965017;2228;;;;;;;
30;0,029296875;0,090989867;2234;;;;;;;
31;0,030273438;0,09401386;2240;;;;;;;
32;0,03125;0,097036969;2246;;;;;;;
33;0,032226563;0,100059164;2252;;;;;;;
34;0,033203125;0,103080418;2259;;;;;;;
35;0,034179688;0,106100701;2265;;;;;;;
36;0,03515625;0,109119985;2271;;;;;;;
37;0,036132813;0,112138243;2277;;;;;;;
38;0,037109375;0,115155445;2283;;;;;;;
39;0,038085938;0,118171563;2290;;;;;;;
40;0,0390625;0,121186568;2296;;;;;;;
41;0,040039063;0,124200434;2302;;;;;;;
42;0,041015625;0,12721313;2308;;;;;;;
43;0,041992188;0,130224628;2314;;;;;;;
44;0,04296875;0,133234901;2320;;;;;;;
45;0,043945313;0,13624392;2327;;;;;;;
46;0,044921875;0,139251657;2333;;;;;;;
47;0,045898438;0,142258083;2339;;;;;;;
48;0,046875;0,14526317;2345;;;;;;;
49;0,047851563;0,148266889;2351;;;;;;;
50;0,048828125;0,151269213;2357;;;;;;;
51;0,049804688;0,154270114;2363;;;;;;;
52;0,05078125;0,157269562;2370;;;;;;;
53;0,051757813;0,16026753;2376;;;;;;;
54;0,052734375;0,163263989;2382;;;;;;;
55;0,053710938;0,166258912;2388;;;;;;;
56;0,0546875;0,16925227;2394;;;;;;;
57;0,055664063;0,172244035;2400;;;;;;;
58;0,056640625;0,175234178;2406;;;;;;;
59;0,057617188;0,178222672;2413;;;;;;;
60;0,05859375;0,181209489;2419;;;;;;;
61;0,059570313;0,1841946;2425;;;;;;;
62;0,060546875;0,187177978;2431;;;;;;;
63;0,061523438;0,190159593;2437;;;;;;;
64;0,0625;0,193139419;2443;;;;;;;
65;0,063476563;0,196117427;2449;;;;;;;
66;0,064453125;0,199093588;2455;;;;;;;
67;0,065429688;0,202067876;2461;;;;;;;
68;0,06640625;0,205040262;2467;;;;;;;
69;0,067382813;0,208010719;2474;;;;;;;
70;0,068359375;0,210979217;2480;;;;;;;
71;0,069335938;0,213945729;2486;;;;;;;
72;0,0703125;0,216910228;2492;;;;;;;
73;0,071289063;0,219872685;2498;;;;;;;
74;0,072265625;0,222833072;2504;;;;;;;
75;0,073242188;0,225791362;2510;;;;;;;
76;0,07421875;0,228747527;2516;;;;;;;
77;0,075195313;0,231701539;2522;;;;;;;
78;0,076171875;0,23465337;2528;;;;;;;
79;0,077148438;0,237602992;2534;;;;;;;
80;0,078125;0,240550378;2540;;;;;;;
81;0,079101563;0,2434955;2546;;;;;;;
82;0,080078125;0,24643833;2552;;;;;;;
83;0,081054688;0,24937884;2558;;;;;;;
84;0,08203125;0,252317003;2564;;;;;;;
85;0,083007813;0,255252791;2570;;;;;;;
86;0,083984375;0,258186177;2576;;;;;;;
87;0,084960938;0,261117132;2582;;;;;;;
88;0,0859375;0,26404563;2588;;;;;;;
89;0,086914063;0,266971642;2594;;;;;;;
90;0,087890625;0,269895142;2600;;;;;;;
91;0,088867188;0,272816101;2606;;;;;;;
92;0,08984375;0,275734492;2612;;;;;;;
93;0,090820313;0,278650289;2618;;;;;;;
