N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;0,003143578;2054;;Max value;;1;;Rads;6,283185307
2;0,001953125;0,006287101;2060;;;;;;;
3;0,002929688;0,009430516;2067;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;0,012573768;2073;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;0,015716802;2080;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;0,018859565;2086;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;0,022002001;2093;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;0,025144058;2099;;;;;;;
9;0,008789063;0,02828568;2105;;;;;;;
10;0,009765625;0,031426814;2112;;;;;;;
11;0,010742188;0,034567405;2118;;;;;;;
12;0,01171875;0,037707399;2125;;;;;;;
13;0,012695313;0,040846743;2131;;;;;;;
14;0,013671875;0,043985382;2138;;;;;;;
15;0,014648438;0,047123262;2144;;;;;;;
16;0,015625;0,05026033;2150;;;;;;;
17;0,016601563;0,053396532;2157;;;;;;;
18;0,017578125;0,056531814;2163;;;;;;;
19;0,018554688;0,059666123;2170;;;;;;;
20;0,01953125;0,062799405;2176;;;;;;;
21;0,020507813;0,065931607;2183;;;;;;;
22;0,021484375;0,069062676;2189;;;;;;;
23;0,022460938;0,072192558;2195;;;;;;;
24;0,0234375;0,075321201;2202;;;;;;;
25;0,024414063;0,078448551;2208;;;;;;;
26;0,025390625;0,081574556;2215;;;;;;;
27;0,026367188;0,084699163;2221;;;;;;;
28;0,02734375;0,087822319;2227;;;;;;;
29;0,028320313;0,090943973;2234;;;;;;;
30;0,029296875;0,094064071;2240;;;;;;;
31;0,030273438;0,097182563;2247;;;;;;;
32;0,03125;0,100299395;2253;;;;;;;
33;0,032226563;0,103414516;2259;;;;;;;
34;0,033203125;0,106527874;2266;;;;;;;
35;0,034179688;0,109639419;2272;;;;;;;
36;0,03515625;0,112749098;2278;;;;;;;
37;0,036132813;0,11585686;2285;;;;;;;
38;0,037109375;0,118962655;2291;;;;;;;
39;0,038085938;0,122066432;2297;;;;;;;
40;0,0390625;0,125168141;2304;;;;;;;
41;0,040039063;0,12826773;2310;;;;;;;
42;0,041015625;0,13136515;2317;;;;;;;
43;0,041992188;0,13446035;2323;;;;;;;
44;0,04296875;0,137553282;2329;;;;;;;
45;0,043945313;0,140643895;2336;;;;;;;
46;0,044921875;0,14373214;2342;;;;;;;
47;0,045898438;0,146817968;2348;;;;;;;
48;0,046875;0,149901331;2354;;;;;;;
49;0,047851563;0,152982179;2361;;;;;;;
50;0,048828125;0,156060464;2367;;;;;;;
51;0,049804688;0,159136138;2373;;;;;;;
52;0,05078125;0,162209153;2380;;;;;;;
53;0,051757813;0,165279461;2386;;;;;;;
54;0,052734375;0,168347015;2392;;;;;;;
55;0,053710938;0,171411768;2399;;;;;;;
56;0,0546875;0,174473672;2405;;;;;;;
57;0,055664063;0,177532682;2411;;;;;;;
58;0,056640625;0,18058875;2417;;;;;;;
59;0,057617188;0,183641831;2424;;;;;;;
60;0,05859375;0,186691878;2430;;;;;;;
61;0,059570313;0,189738847;2436;;;;;;;
62;0,060546875;0,192782691;2442;;;;;;;
63;0,061523438;0,195823367;2449;;;;;;;
64;0,0625;0,198860828;2455;;;;;;;
65;0,063476563;0,201895031;2461;;;;;;;
66;0,064453125;0,204925932;2467;;;;;;;
67;0,065429688;0,207953486;2473;;;;;;;
68;0,06640625;0,210977651;2480;;;;;;;
69;0,067382813;0,213998382;2486;;;;;;;
70;0,068359375;0,217015637;2492;;;;;;;
71;0,069335938;0,220029374;2498;;;;;;;
72;0,0703125;0,22303955;2504;;;;;;;
73;0,071289063;0,226046123;2510;;;;;;;
74;0,072265625;0,229049052;2517;;;;;;;
75;0,073242188;0,232048294;2523;;;;;;;
76;0,07421875;0,23504381;2529;;;;;;;
77;0,075195313;0,238035558;2535;;;;;;;
78;0,076171875;0,241023498;2541;;;;;;;
79;0,077148438;0,24400759;2547;;;;;;;
80;0,078125;0,246987795;2553;;;;;;;
81;0,079101563;0,249964073;2559;;;;;;;
82;0,080078125;0,252936384;2566;;;;;;;
83;0,081054688;0,255904691;2572;;;;;;;
84;0,08203125;0,258868956;2578;;;;;;;
85;0,083007813;0,261829139;2584;;;;;;;
86;0,083984375;0,264785204;2590;;;;;;;
87;0,084960938;0,267737113;2596;;;;;;;
88;0,0859375;0,27068483;2602;;;;;;;
89;0,086914063;0,273628317;2608;;;;;;;
90;0,087890625;0,27656754;2614;;;;;;;
91;0,088867188;0,279502461;2620;;;;;;;
92;0,08984375;0,282433045;2626;;;;;;;
93;0,090820313;0,285359258;2632;;;;;;;
94;0,091796875;0,288281065;2638;;;;;;;
95;0,092773438;0,29119843;2644;;;;;;;
96;0,09375;0,294111322;2650;;;;;;;
97;0,094726563;0,297019704;2656;;;;;;;
98;0,095703125;0,299923546;2662;;;;;;;
99;0,096679688;0,302822813;2668;;;;;;;
100;0,09765625;0,305717473;2674;;;;;;;
101;0,098632813;0,308607495;2680;;;;;;;
102;0,099609375;0,311492845;2685;;;;;;;
103;0,100585938;0,314373494;2691;;;;;;;
104;0,1015625;0,31724941;2697;;;;;;;
105;0,102539063;0,320120562;2703;;;;;;;
106;0,103515625;0,322986921;2709;;;;;;;
107;0,104492188;0,325848456;2715;;;;;;;
108;0,10546875;0,328705138;2721;;;;;;;
109;0,106445313;0,331556939;2727;;;;;;;
110;0,107421875;0,334403828;2732;;;;;;;
111;0,108398438;0,337245779;2738;;;;;;;
112;0,109375;0,340082764;2744;;;;;;;
113;0,110351563;0,342914754;2750;;;;;;;
114;0,111328125;0,345741722;2756;;;;;;;
115;0,112304688;0,348563643;2761;;;;;;;
116;0,11328125;0,35138049;2767;;;;;;;
117;0,114257813;0,354192236;2773;;;;;;;
118;0,115234375;0,356998857;2779;;;;;;;
119;0,116210938;0,359800326;2784;;;;;;;
120;0,1171875;0,36259662;2790;;;;;;;
121;0,118164063;0,365387714;2796;;;;;;;
122;0,119140625;0,368173584;2802;;;;;;;
123;0,120117188;0,370954206;2807;;;;;;;
124;0,12109375;0,373729558;2813;;;;;;;
125;0,122070313;0,376499616;2819;;;;;;;
126;0,123046875;0,379264358;2824;;;;;;;
127;0,124023438;0,382023762;2830;;;;;;;
128;0,125;0,384777806;2836;;;;;;;
129;0,125976563;0,38752647;2841;;;;;;;
130;0,126953125;0,390269731;2847;;;;;;;
131;0,127929688;0,39300757;2852;;;;;;;
132;0,12890625;0,395739967;2858;;;;;;;
133;0,129882813;0,398466902;2864;;;;;;;
134;0,130859375;0,401188355;2869;;;;;;;
135;0,131835938;0,403904308;2875;;;;;;;
136;0,1328125;0,406614742;2880;;;;;;;
137;0,133789063;0,409319638;2886;;;;;;;
138;0,134765625;0,41201898;2891;;;;;;;
139;0,135742188;0,414712749;2897;;;;;;;
140;0,13671875;0,417400929;2902;;;;;;;
141;0,137695313;0,420083502;2908;;;;;;;
142;0,138671875;0,422760453;2913;;;;;;;
143;0,139648438;0,425431765;2919;;;;;;;
144;0,140625;0,428097424;2924;;;;;;;
145;0,141601563;0,430757413;2930;;;;;;;
146;0,142578125;0,433411718;2935;;;;;;;
147;0,143554688;0,436060324;2941;;;;;;;
148;0,14453125;0,438703218;2946;;;;;;;
149;0,145507813;0,441340385;2951;;;;;;;
150;0,146484375;0,443971812;2957;;;;;;;
151;0,147460938;0,446597487;2962;;;;;;;
152;0,1484375;0,449217395;2967;;;;;;;
153;0,149414063;0,451831526;2973;;;;;;;
154;0,150390625;0,454439867;2978;;;;;;;
155;0,151367188;0,457042407;2984;;;;;;;
156;0,15234375;0,459639133;2989;;;;;;;
157;0,153320313;0,462230036;2994;;;;;;;
158;0,154296875;0,464815104;2999;;;;;;;
159;0,155273438;0,467394327;3005;;;;;;;
160;0,15625;0,469967696;3010;;;;;;;
161;0,157226563;0,472535201;3015;;;;;;;
162;0,158203125;0,475096832;3020;;;;;;;
163;0,159179688;0,477652581;3026;;;;;;;
164;0,16015625;0,480202438;3031;;;;;;;
165;0,161132813;0,482746396;3036;;;;;;;
166;0,162109375;0,485284447;3041;;;;;;;
167;0,163085938;0,487816582;3047;;;;;;;
168;0,1640625;0,490342795;3052;;;;;;;
169;0,165039063;0,492863079;3057;;;;;;;
170;0,166015625;0,495377427;3062;;;;;;;
171;0,166992188;0,497885831;3067;;;;;;;
172;0,16796875;0,500388287;3072;;;;;;;
173;0,168945313;0,502884789;3077;;;;;;;
174;0,169921875;0,50537533;3083;;;;;;;
175;0,170898438;0,507859905;3088;;;;;;;
176;0,171875;0,510338511;3093;;;;;;;
177;0,172851563;0,512811141;3098;;;;;;;
178;0,173828125;0,515277791;3103;;;;;;;
179;0,174804688;0,517738458;3108;;;;;;;
180;0,17578125;0,520193138;3113;;;;;;;
181;0,176757813;0,522641826;3118;;;;;;;
182;0,177734375;0,52508452;3123;;;;;;;
183;0,178710938;0,527521216;3128;;;;;;;
184;0,1796875;0,529951912;3133;;;;;;;
185;0,180664063;0,532376605;3138;;;;;;;
186;0,181640625;0,534795293;3143;;;;;;;
187;0,182617188;0,537207974;3148;;;;;;;
188;0,18359375;0,539614645;3153;;;;;;;
189;0,184570313;0,542015306;3158;;;;;;;
190;0,185546875;0,544409955;3162;;;;;;;
191;0,186523438;0,546798591;3167;;;;;;;
192;0,1875;0,549181213;3172;;;;;;;
193;0,188476563;0,55155782;3177;;;;;;;
194;0,189453125;0,553928412;3182;;;;;;;
195;0,190429688;0,556292989;3187;;;;;;;
196;0,19140625;0,55865155;3192;;;;;;;
197;0,192382813;0,561004097;3196;;;;;;;
198;0,193359375;0,563350628;3201;;;;;;;
199;0,194335938;0,565691145;3206;;;;;;;
200;0,1953125;0,568025649;3211;;;;;;;
201;0,196289063;0,57035414;3216;;;;;;;
202;0,197265625;0,572676619;3220;;;;;;;
203;0,198242188;0,574993089;3225;;;;;;;
204;0,19921875;0,57730355;3230;;;;;;;
205;0,200195313;0,579608004;3235;;;;;;;
206;0,201171875;0,581906454;3239;;;;;;;
207;0,202148438;0,5841989;3244;;;;;;;
208;0,203125;0,586485345;3249;;;;;;;
209;0,204101563;0,588765791;3253;;;;;;;
210;0,205078125;0,591040241;3258;;;;;;;
211;0,206054688;0,593308698;3263;;;;;;;
212;0,20703125;0,595571164;3267;;;;;;;
213;0,208007813;0,597827642;3272;;;;;;;
214;0,208984375;0,600078134;3276;;;;;;;
215;0,209960938;0,602322645;3281;;;;;;;
216;0,2109375;0,604561178;3286;;;;;;;
217;0,211914063;0,606793734;3290;;;;;;;
218;0,212890625;0,60902032;3295;;;;;;;
219;0,213867188;0,611240936;3299;;;;;;;
220;0,21484375;0,613455589;3304;;;;;;;
221;0,215820313;0,61566428;3308;;;;;;;
222;0,216796875;0,617867014;3313;;;;;;;
223;0,217773438;0,620063795;3317;;;;;;;
224;0,21875;0,622254628;3322;;;;;;;
225;0,219726563;0,624439515;3326;;;;;;;
226;0,220703125;0,626618462;3331;;;;;;;
227;0,221679688;0,628791472;3335;;;;;;;
228;0,22265625;0,63095855;3340;;;;;;;
229;0,223632813;0,6331197;3344;;;;;;;
230;0,224609375;0,635274927;3349;;;;;;;
231;0,225585938;0,637424235;3353;;;;;;;
232;0,2265625;0,639567628;3357;;;;;;;
233;0,227539063;0,641705112;3362;;;;;;;
234;0,228515625;0,64383669;3366;;;;;;;
235;0,229492188;0,645962368;3370;;;;;;;
236;0,23046875;0,648082149;3375;;;;;;;
237;0,231445313;0,650196039;3379;;;;;;;
238;0,232421875;0,652304043;3383;;;;;;;
239;0,233398438;0,654406165;3388;;;;;;;
240;0,234375;0,656502409;3392;;;;;;;
241;0,235351563;0,658592781;3396;;;;;;;
242;0,236328125;0,660677285;3401;;;;;;;
243;0,237304688;0,662755925;3405;;;;;;;
244;0,23828125;0,664828707;3409;;;;;;;
245;0,239257813;0,666895635;3413;;;;;;;
246;0,240234375;0,668956714;3418;;;;;;;
247;0,241210938;0,671011949;3422;;;;;;;
248;0,2421875;0,673061343;3426;;;;;;;
249;0,243164063;0,675104902;3430;;;;;;;
250;0,244140625;0,677142629;3434;;;;;;;
251;0,245117188;0,679174531;3438;;;;;;;
252;0,24609375;0,68120061;3443;;;;;;;
253;0,247070313;0,683220871;3447;;;;;;;
254;0,248046875;0,685235319;3451;;;;;;;
255;0,249023438;0,687243957;3455;;;;;;;
256;0,25;0,68924679;3459;;;;;;;
257;0,250976563;0,691243823;3463;;;;;;;
258;0,251953125;0,693235058;3467;;;;;;;
259;0,252929688;0,6952205;3471;;;;;;;
260;0,25390625;0,697200153;3475;;;;;;;
261;0,254882813;0,699174021;3479;;;;;;;
262;0,255859375;0,701142106;3483;;;;;;;
263;0,256835938;0,703104414;3487;;;;;;;
264;0,2578125;0,705060947;3491;;;;;;;
265;0,258789063;0,707011708;3495;;;;;;;
266;0,259765625;0,708956701;3499;;;;;;;
267;0,260742188;0,71089593;3503;;;;;;;
268;0,26171875;0,712829396;3507;;;;;;;
269;0,262695313;0,714757103;3511;;;;;;;
270;0,263671875;0,716679054;3515;;;;;;;
271;0,264648438;0,718595251;3519;;;;;;;
272;0,265625;0,720505697;3523;;;;;;;
273;0,266601563;0,722410394;3527;;;;;;;
274;0,267578125;0,724309345;3531;;;;;;;
275;0,268554688;0,72620255;3535;;;;;;;
276;0,26953125;0,728090014;3539;;;;;;;
277;0,270507813;0,729971736;3542;;;;;;;
278;0,271484375;0,73184772;3546;;;;;;;
279;0,272460938;0,733717965;3550;;;;;;;
280;0,2734375;0,735582474;3554;;;;;;;
281;0,274414063;0,737441248;3558;;;;;;;
282;0,275390625;0,739294287;3562;;;;;;;
283;0,276367188;0,741141593;3565;;;;;;;
284;0,27734375;0,742983165;3569;;;;;;;
285;0,278320313;0,744819005;3573;;;;;;;
286;0,279296875;0,746649112;3577;;;;;;;
287;0,280273438;0,748473487;3580;;;;;;;
288;0,28125;0,750292129;3584;;;;;;;
289;0,282226563;0,752105038;3588;;;;;;;
290;0,283203125;0,753912214;3592;;;;;;;
291;0,284179688;0,755713656;3595;;;;;;;
292;0,28515625;0,757509362;3599;;;;;;;
293;0,286132813;0,759299332;3603;;;;;;;
294;0,287109375;0,761083564;3606;;;;;;;
295;0,288085938;0,762862056;3610;;;;;;;
296;0,2890625;0,764634807;3613;;;;;;;
297;0,290039063;0,766401815;3617;;;;;;;
298;0,291015625;0,768163078;3621;;;;;;;
299;0,291992188;0,769918592;3624;;;;;;;
300;0,29296875;0,771668356;3628;;;;;;;
301;0,293945313;0,773412366;3631;;;;;;;
302;0,294921875;0,775150619;3635;;;;;;;
303;0,295898438;0,776883112;3639;;;;;;;
304;0,296875;0,77860984;3642;;;;;;;
305;0,297851563;0,780330801;3646;;;;;;;
306;0,298828125;0,78204599;3649;;;;;;;
307;0,299804688;0,783755403;3653;;;;;;;
308;0,30078125;0,785459034;3656;;;;;;;
309;0,301757813;0,78715688;3660;;;;;;;
310;0,302734375;0,788848934;3663;;;;;;;
311;0,303710938;0,790535192;3667;;;;;;;
312;0,3046875;0,792215648;3670;;;;;;;
313;0,305664063;0,793890296;3673;;;;;;;
314;0,306640625;0,79555913;3677;;;;;;;
315;0,307617188;0,797222143;3680;;;;;;;
316;0,30859375;0,798879329;3684;;;;;;;
317;0,309570313;0,800530681;3687;;;;;;;
318;0,310546875;0,802176191;3690;;;;;;;
319;0,311523438;0,803815853;3694;;;;;;;
320;0,3125;0,805449658;3697;;;;;;;
321;0,313476563;0,807077598;3700;;;;;;;
322;0,314453125;0,808699665;3704;;;;;;;
323;0,315429688;0,81031585;3707;;;;;;;
324;0,31640625;0,811926145;3710;;;;;;;
325;0,317382813;0,813530541;3714;;;;;;;
326;0,318359375;0,815129028;3717;;;;;;;
327;0,319335938;0,816721596;3720;;;;;;;
328;0,3203125;0,818308235;3723;;;;;;;
329;0,321289063;0,819888936;3727;;;;;;;
330;0,322265625;0,821463687;3730;;;;;;;
331;0,323242188;0,823032478;3733;;;;;;;
332;0,32421875;0,824595298;3736;;;;;;;
333;0,325195313;0,826152136;3739;;;;;;;
334;0,326171875;0,827702979;3743;;;;;;;
335;0,327148438;0,829247816;3746;;;;;;;
336;0,328125;0,830786635;3749;;;;;;;
337;0,329101563;0,832319423;3752;;;;;;;
338;0,330078125;0,833846168;3755;;;;;;;
339;0,331054688;0,835366856;3758;;;;;;;
340;0,33203125;0,836881474;3761;;;;;;;
341;0,333007813;0,838390008;3765;;;;;;;
342;0,333984375;0,839892445;3768;;;;;;;
343;0,334960938;0,84138877;3771;;;;;;;
344;0,3359375;0,842878968;3774;;;;;;;
345;0,336914063;0,844363026;3777;;;;;;;
346;0,337890625;0,845840928;3780;;;;;;;
347;0,338867188;0,847312658;3783;;;;;;;
348;0,33984375;0,848778202;3786;;;;;;;
349;0,340820313;0,850237542;3789;;;;;;;
350;0,341796875;0,851690664;3792;;;;;;;
351;0,342773438;0,85313755;3795;;;;;;;
352;0,34375;0,854578184;3798;;;;;;;
353;0,344726563;0,856012548;3801;;;;;;;
354;0,345703125;0,857440626;3804;;;;;;;
355;0,346679688;0,8588624;3806;;;;;;;
356;0,34765625;0,860277851;3809;;;;;;;
357;0,348632813;0,861686963;3812;;;;;;;
358;0,349609375;0,863089716;3815;;;;;;;
359;0,350585938;0,864486091;3818;;;;;;;
360;0,3515625;0,865876071;3821;;;;;;;
361;0,352539063;0,867259634;3824;;;;;;;
362;0,353515625;0,868636763;3826;;;;;;;
363;0,354492188;0,870007438;3829;;;;;;;
364;0,35546875;0,871371637;3832;;;;;;;
365;0,356445313;0,872729342;3835;;;;;;;
366;0,357421875;0,87408053;3838;;;;;;;
367;0,358398438;0,875425183;3840;;;;;;;
368;0,359375;0,876763277;3843;;;;;;;
369;0,360351563;0,878094793;3846;;;;;;;
370;0,361328125;0,879419709;3849;;;;;;;
371;0,362304688;0,880738002;3851;;;;;;;
372;0,36328125;0,882049651;3854;;;;;;;
373;0,364257813;0,883354632;3857;;;;;;;
374;0,365234375;0,884652925;3859;;;;;;;
375;0,366210938;0,885944505;3862;;;;;;;
376;0,3671875;0,887229349;3865;;;;;;;
