N;time;Waveform;scale;;Total period;;1;;Calculated;
0;0;0;2048;;Min value;;-1;;Freq;1
1;0,000976563;-0,000928496;2046;;Max value;;1;;Rads;6,283185307
2;0,001953125;-0,001857933;2044;;;;;;;
3;0,002929688;-0,002787442;2042;;Instructions: Set Total period and min/max value. Then populate column C;;;;;
4;0,00390625;-0,003716146;2040;;"The export tab will have a copy of column D; save that sheet as a CSV file";;;;;
5;0,004882813;-0,004643173;2038;;And then use setwave5200 to transmit file to instrument;;;;;
6;0,005859375;-0,005567646;2036;;Note: the period, time, and min/max values are for your optional use.  You can adjust the ;;;;;
7;0,006835938;-0,006488693;2034;;frequency and amplitude from the instrument front panel;;;;;
8;0,0078125;-0,007405439;2032;;;;;;;
9;0,008789063;-0,008317016;2030;;;;;;;
10;0,009765625;-0,009222555;2029;;;;;;;
11;0,010742188;-0,010121193;2027;;;;;;;
12;0,01171875;-0,011012072;2025;;;;;;;
13;0,012695313;-0,011894339;2023;;;;;;;
14;0,013671875;-0,012767147;2021;;;;;;;
15;0,014648438;-0,013629658;2020;;;;;;;
16;0,015625;-0,014481039;2018;;;;;;;
17;0,016601563;-0,015320469;2016;;;;;;;
18;0,017578125;-0,016147134;2014;;;;;;;
19;0,018554688;-0,016960232;2013;;;;;;;
20;0,01953125;-0,017758972;2011;;;;;;;
21;0,020507813;-0,018542573;2010;;;;;;;
22;0,021484375;-0,01931027;2008;;;;;;;
23;0,022460938;-0,020061308;2006;;;;;;;
24;0,0234375;-0,020794948;2005;;;;;;;
25;0,024414063;-0,021510466;2003;;;;;;;
26;0,025390625;-0,022207152;2002;;;;;;;
27;0,026367188;-0,022884315;2001;;;;;;;
28;0,02734375;-0,023541278;1999;;;;;;;
29;0,028320313;-0,024177383;1998;;;;;;;
30;0,029296875;-0,024791989;1997;;;;;;;
31;0,030273438;-0,025384477;1996;;;;;;;
32;0,03125;-0,025954245;1994;;;;;;;
33;0,032226563;-0,02650071;1993;;;;;;;
34;0,033203125;-0,027023313;1992;;;;;;;
35;0,034179688;-0,027521513;1991;;;;;;;
